chr_name	start	end	cell_line	targets	predicted	weights	probabilities	inputs	attributions
chr10	42435502	42436016	LNCAP	0.0	0.0	1.6343597173690796	0.007162653375416994	"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.0000],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0000],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0000],
         ...,
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0019],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0019],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0019]]])"	"tensor([[[1.0860e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00],
         [0.0000e+00, 0.0000e+00, 1.0760e+00, 0.0000e+00, 0.0000e+00],
         [1.1002e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00],
         ...,
         [0.0000e+00, 0.0000e+00, 0.0000e+00, 1.6746e-01, 3.7796e-04],
         [0.0000e+00, 0.0000e+00, 1.5042e-01, 0.0000e+00, 3.2413e-04],
         [0.0000e+00, 0.0000e+00, 1.2890e-01, 0.0000e+00, 2.8383e-04]]])"
chr1	223519340	223520293	THP-1	0.0	0.0	1.6343597173690796	0.017632491886615753	"tensor([[[0.0000, 1.0000, 0.0000, 0.0000, 0.0066],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0066],
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0059],
         ...,
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0105],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0105],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0105]]])"	"tensor([[[-0.0000, -0.0920, -0.0000, -0.0000, -0.0008],
         [-0.0000, -0.0000, -0.0000, -0.1265, -0.0010],
         [-0.0000, -0.1372, -0.0000, -0.0000, -0.0011],
         ...,
         [ 0.2563,  0.0000,  0.0000,  0.0000,  0.0027],
         [ 0.0000,  0.0000,  0.2490,  0.0000,  0.0028],
         [ 0.2676,  0.0000,  0.0000,  0.0000,  0.0027]]])"
chr6	106730936	106731954	A549	0.0	1.0	1.6343597173690796	0.5067387223243713	"tensor([[[0.0000, 1.0000, 0.0000, 0.0000, 0.0099],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0118],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0118],
         ...,
         [0.0000, 1.0000, 0.0000, 0.0000, 0.1072],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.1087],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.1072]]])"	"tensor([[[0.0000, 0.8394, 0.0000, 0.0000, 0.0095],
         [0.8721, 0.0000, 0.0000, 0.0000, 0.0121],
         [0.0000, 0.0000, 0.8683, 0.0000, 0.0119],
         ...,
         [0.0000, 0.4016, 0.0000, 0.0000, 0.0455],
         [0.3748, 0.0000, 0.0000, 0.0000, 0.0408],
         [0.3902, 0.0000, 0.0000, 0.0000, 0.0418]]])"
chrX	86101852	86102112	A549	0.0	0.0	1.6343597173690796	0.0005069496692158282	"tensor([[[0.0000, 0.0000, 1.0000, 0.0000, 0.0040],
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0040],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0040],
         ...,
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0059],
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0079],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0079]]])"	"tensor([[[0.0000e+00, 0.0000e+00, 1.8480e-01, 0.0000e+00, 6.0937e-04],
         [0.0000e+00, 1.4353e-01, 0.0000e+00, 0.0000e+00, 3.7038e-04],
         [9.1684e-02, 0.0000e+00, 0.0000e+00, 0.0000e+00, 1.3443e-04],
         ...,
         [0.0000e+00, 2.0661e-01, 0.0000e+00, 0.0000e+00, 1.2209e-03],
         [0.0000e+00, 2.0949e-01, 0.0000e+00, 0.0000e+00, 1.6843e-03],
         [0.0000e+00, 0.0000e+00, 2.1583e-01, 0.0000e+00, 1.6417e-03]]])"
chr8	379841	380415	LNCAP	0.0	0.0	1.6343597173690796	0.09959662705659866	"tensor([[[0.0000, 0.0000, 1.0000, 0.0000, 0.0019],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0019],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0019],
         ...,
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0019],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0019],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0019]]])"	"tensor([[[0.0000e+00, 0.0000e+00, 1.2172e+00, 0.0000e+00, 2.6342e-03],
         [0.0000e+00, 0.0000e+00, 0.0000e+00, 1.2348e+00, 2.6485e-03],
         [0.0000e+00, 0.0000e+00, 0.0000e+00, 1.2426e+00, 2.7875e-03],
         ...,
         [0.0000e+00, 2.8098e-01, 0.0000e+00, 0.0000e+00, 6.3735e-04],
         [2.5038e-01, 0.0000e+00, 0.0000e+00, 0.0000e+00, 5.7080e-04],
         [0.0000e+00, 0.0000e+00, 2.3257e-01, 0.0000e+00, 4.9653e-04]]])"
chr6	142313368	142314462	LNCAP	1.0	0.0	1.0	0.0036761381197720766	"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.0219],
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0219],
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0237],
         ...,
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0056],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0056],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0056]]])"	"tensor([[[-1.3137e-01, -0.0000e+00, -0.0000e+00, -0.0000e+00, -2.8665e-03],
         [-0.0000e+00, -1.2534e-01, -0.0000e+00, -0.0000e+00, -2.7515e-03],
         [-0.0000e+00, -1.2000e-01, -0.0000e+00, -0.0000e+00, -2.9321e-03],
         ...,
         [-3.5652e-02, -0.0000e+00, -0.0000e+00, -0.0000e+00, -9.0763e-05],
         [-3.0357e-02, -0.0000e+00, -0.0000e+00, -0.0000e+00, -6.4179e-05],
         [-0.0000e+00, -0.0000e+00, -2.8798e-02, -0.0000e+00, -8.6456e-05]]])"
chr8	33484561	33486103	LNCAP	1.0	1.0	1.0	0.9949536919593811	"tensor([[[0.0000, 0.0000, 1.0000, 0.0000, 0.0019],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0000],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0000],
         ...,
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0037],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0037],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0037]]])"	"tensor([[[-0.0000, -0.0000, -0.8764, -0.0000, -0.0020],
         [-0.0000, -0.0000, -0.0000, -0.9060, -0.0000],
         [-0.9211, -0.0000, -0.0000, -0.0000, -0.0000],
         ...,
         [-0.0000, -0.0000, -0.0000, -0.3249, -0.0013],
         [-0.0000, -0.0000, -0.0000, -0.3091, -0.0012],
         [-0.2907, -0.0000, -0.0000, -0.0000, -0.0011]]])"
chr5	105952764	105954503	LNCAP	1.0	1.0	2.5849626064300537	0.9985538125038147	"tensor([[[0.0000, 1.0000, 0.0000, 0.0000, 0.0074],
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0074],
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0074],
         ...,
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0019],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0019],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0019]]])"	"tensor([[[-0.0000e+00, -4.1727e-01, -0.0000e+00, -0.0000e+00, -3.6501e-03],
         [-4.4556e-01, -0.0000e+00, -0.0000e+00, -0.0000e+00, -3.8744e-03],
         [-0.0000e+00, -4.4843e-01, -0.0000e+00, -0.0000e+00, -3.8759e-03],
         ...,
         [-1.7905e-01, -0.0000e+00, -0.0000e+00, -0.0000e+00, -3.6961e-04],
         [-0.0000e+00, -0.0000e+00, -0.0000e+00, -1.5643e-01, -3.3850e-04],
         [-0.0000e+00, -0.0000e+00, -0.0000e+00, -1.4239e-01, -2.9363e-04]]])"
chr14	82313586	82314637	LNCAP	1.0	1.0	3.4594316482543945	0.9901584982872009	"tensor([[[0.0000, 0.0000, 0.0000, 1.0000, 0.0000],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0000],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0000],
         ...,
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0056],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0056],
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0056]]])"	"tensor([[[-0.0000, -0.0000, -0.0000, -0.0720, -0.0000],
         [-0.0000, -0.0000, -0.0000, -0.0746, -0.0000],
         [-0.0000, -0.0000, -0.0000, -0.0765, -0.0000],
         ...,
         [-0.0000, -0.0000, -0.0471, -0.0000, -0.0003],
         [-0.0000, -0.0000, -0.0000, -0.0409, -0.0002],
         [-0.0000, -0.0361, -0.0000, -0.0000, -0.0002]]])"
chr22	45478335	45478715	22Rv1	0.0	0.0	1.6343597173690796	0.07110325247049332	"tensor([[[0.0000, 0.0000, 1.0000, 0.0000, 0.0050],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0050],
         [0.0000, 1.0000, 0.0000, 0.0000, 0.0050],
         ...,
         [1.0000, 0.0000, 0.0000, 0.0000, 0.0000],
         [0.0000, 0.0000, 1.0000, 0.0000, 0.0000],
         [0.0000, 0.0000, 0.0000, 1.0000, 0.0000]]])"	"tensor([[[-0.0000, -0.0000, -0.3107, -0.0000, -0.0019],
         [-0.0000, -0.0000, -0.0000, -0.3449, -0.0020],
         [-0.0000, -0.3525, -0.0000, -0.0000, -0.0023],
         ...,
         [-0.0846, -0.0000, -0.0000, -0.0000, -0.0000],
         [-0.0000, -0.0000, -0.0778, -0.0000, -0.0000],
         [-0.0000, -0.0000, -0.0000, -0.0672, -0.0000]]])"
